iter	Passed	Remaining
0	1	1509
1	3	1647
2	4	1633
3	6	1656
4	7	1587
5	10	1695
6	12	1757
7	13	1711
8	14	1644
9	16	1623
10	17	1603
11	19	1576
12	20	1537
13	21	1514
14	22	1465
15	23	1455
16	24	1441
17	26	1420
18	26	1385
19	27	1368
20	28	1337
21	29	1311
22	31	1355
23	33	1354
24	34	1341
25	35	1340
26	36	1328
27	39	1379
28	41	1374
29	41	1357
30	43	1347
31	44	1347
32	45	1345
33	46	1332
34	48	1333
35	49	1331
36	50	1327
37	53	1357
38	55	1373
39	57	1370
40	58	1373
41	60	1374
42	62	1385
43	63	1374
44	64	1360
45	64	1346
46	66	1343
47	67	1329
48	68	1319
49	69	1312
50	69	1299
51	70	1287
52	71	1280
53	72	1270
54	73	1261
55	74	1256
56	75	1247
57	76	1240
58	77	1232
59	78	1222
60	79	1217
61	80	1211
62	80	1202
63	81	1198
64	82	1190
65	83	1185
66	84	1179
67	85	1176
68	86	1173
69	87	1167
70	88	1160
71	89	1157
72	90	1150
73	91	1144
74	92	1140
75	93	1135
76	94	1131
77	95	1125
78	96	1122
79	97	1118
80	98	1112
81	99	1109
82	99	1101
83	100	1097
84	101	1095
85	102	1089
86	103	1087
87	104	1082
88	105	1080
89	106	1076
90	107	1070
91	108	1067
92	109	1063
93	110	1061
94	111	1057
95	111	1053
96	112	1051
97	114	1049
98	115	1047
99	115	1043
100	116	1038
101	117	1036
102	118	1031
103	119	1028
104	120	1025
105	121	1020
106	121	1016
107	122	1014
108	123	1010
109	124	1006
110	125	1003
111	126	1000
112	126	996
113	128	995
114	128	991
115	129	988
116	130	982
117	131	980
118	132	978
119	132	974
120	133	973
121	134	968
122	135	965
123	136	964
124	137	961
125	138	959
126	139	956
127	140	955
128	141	954
129	142	952
130	143	949
131	144	947
132	145	945
133	145	942
134	146	941
135	147	939
136	148	938
137	149	936
138	150	933
139	151	932
140	152	930
141	153	929
142	155	928
143	155	926
144	156	924
145	157	922
146	158	920
147	159	918
148	160	915
149	161	915
150	162	913
151	163	910
152	164	910
153	165	907
154	166	906
155	167	905
156	168	905
157	169	903
158	170	900
159	171	899
160	171	895
161	172	892
162	173	891
163	174	889
164	175	887
165	176	886
166	177	884
167	178	883
168	179	881
169	180	879
170	181	878
171	182	876
172	183	875
173	184	873
174	184	871
175	185	870
176	186	868
177	187	867
178	188	866
179	189	864
180	190	862
181	191	860
182	192	859
183	193	859
184	194	858
185	195	856
186	196	854
187	197	853
188	198	852
189	199	850
190	200	849
191	201	848
192	202	845
193	203	845
194	204	843
195	205	842
196	206	840
197	207	839
198	208	838
199	209	837
200	210	835
201	211	833
202	212	833
203	213	832
204	214	832
205	215	831
206	216	831
207	217	829
208	218	828
209	220	827
210	221	827
211	222	826
212	223	825
213	224	824
214	225	822
215	226	821
216	227	820
217	228	818
218	229	817
219	230	815
220	231	814
221	232	813
222	232	811
223	233	809
224	234	808
225	236	808
226	237	808
227	239	810
228	240	809
229	241	808
230	242	808
231	244	808
232	245	808
233	246	807
234	247	807
235	249	806
236	250	806
237	252	807
238	254	809
239	255	808
240	256	809
241	258	809
242	259	809
243	261	810
244	262	809
245	263	809
246	265	809
247	266	809
248	268	808
249	269	808
250	270	807
251	272	807
252	273	806
253	274	805
254	275	804
255	276	803
256	277	802
257	278	802
258	280	801
259	281	800
260	282	799
261	283	799
262	285	799
263	286	798
264	288	799
265	289	798
266	290	797
267	291	797
268	293	796
269	294	797
270	296	796
271	297	796
272	298	795
273	300	794
274	301	794
275	302	793
276	303	792
277	304	791
278	306	791
279	307	791
280	309	790
281	310	789
282	311	788
283	312	788
284	314	788
285	315	787
286	316	786
287	318	786
288	319	786
289	321	787
290	323	787
291	324	786
292	325	785
293	326	785
294	328	784
295	329	784
296	330	782
297	331	781
298	333	781
299	334	781
300	336	780
301	337	779
302	338	778
303	339	778
304	341	777
305	342	777
306	344	776
307	345	775
308	346	774
309	347	774
310	349	773
311	350	772
312	351	772
313	353	772
314	354	771
315	356	771
316	357	771
317	359	770
318	360	769
319	362	769
320	363	769
321	365	769
322	366	767
323	368	768
324	369	768
325	371	767
326	372	767
327	373	765
328	375	764
329	376	764
330	378	764
331	379	763
332	380	762
333	382	761
334	383	760
335	384	759
336	385	759
337	386	757
338	388	756
339	389	756
340	391	755
341	392	754
342	393	753
343	394	751
344	395	750
345	396	749
346	398	749
347	399	748
348	400	746
349	401	744
350	402	744
351	403	743
352	405	742
353	406	742
354	407	740
355	408	739
356	410	738
357	411	737
358	412	736
359	413	735
360	414	734
361	415	732
362	417	732
363	418	731
364	420	730
365	421	729
366	422	728
367	423	727
368	425	726
369	426	726
370	427	725
371	428	723
372	429	722
373	431	721
374	432	720
375	433	719
376	435	718
377	436	718
378	437	717
379	439	717
380	441	716
381	442	715
382	443	714
383	444	713
384	446	712
385	447	712
386	449	711
387	450	710
388	451	709
389	453	709
390	455	709
391	456	707
392	458	707
393	459	706
394	462	707
395	463	706
396	464	705
397	466	705
398	468	705
399	469	704
400	470	702
401	472	702
402	473	701
403	475	701
404	476	700
405	477	698
406	478	697
407	480	697
408	481	696
409	483	695
410	484	694
411	485	693
412	487	692
413	489	692
414	490	691
415	491	690
416	493	689
417	494	688
418	496	687
419	497	686
420	498	685
421	500	684
422	501	683
423	502	682
424	503	681
425	504	680
426	505	678
427	507	677
428	508	676
429	509	675
430	510	674
431	512	673
432	513	672
433	515	671
434	516	671
435	518	670
436	519	669
437	521	668
438	522	667
439	523	666
440	525	665
441	526	664
442	527	663
443	529	662
444	530	661
445	531	660
446	532	659
447	533	657
448	535	656
449	536	656
450	538	655
451	539	654
452	540	652
453	542	651
454	543	650
455	544	650
456	546	649
457	547	648
458	549	647
459	550	646
460	552	645
461	553	644
462	555	644
463	556	643
464	558	642
465	559	640
466	560	639
467	561	638
468	563	637
469	564	636
470	565	635
471	567	634
472	568	633
473	569	632
474	570	630
475	571	629
476	572	628
477	573	626
478	575	625
479	576	624
480	577	622
481	578	621
482	579	620
483	580	618
484	581	617
485	582	615
486	583	614
487	584	613
488	585	611
489	586	610
490	587	608
491	588	607
492	589	606
493	590	604
494	591	603
495	592	602
496	593	600
497	594	599
498	595	598
499	596	596
500	598	595
501	599	594
